path	bytes	upstream_lfs_sha256	over_5gb_decimal	url
.gitattributes	1635		no	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/.gitattributes?download=true
README.md	2151		no	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/README.md?download=true
chat_template.jinja	10644		no	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/chat_template.jinja?download=true
config.json	53876		no	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/config.json?download=true
generation_config.json	177		no	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/generation_config.json?download=true
model-00001-of-00010.safetensors	20002894272	6b6846fb90f68505d54dc143c517cfb6dc5e6e0e83d1335942027a8c54369abb	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model-00001-of-00010.safetensors?download=true
model-00002-of-00010.safetensors	20002803476	f8316bca081630a5a6b2c8cf6a2a760e9f409649d7759d3dbc9777d9d91bcca2	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model-00002-of-00010.safetensors?download=true
model-00003-of-00010.safetensors	20000726256	e9b085e5e14cdfaff92c6efba2eede93ea5d370deffb36ec20ba31b4bb8883c6	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model-00003-of-00010.safetensors?download=true
model-00004-of-00010.safetensors	20000334356	97dca208b01884ffe6ae377553a773ba210094423e1b04580ebdebce55c21226	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model-00004-of-00010.safetensors?download=true
model-00005-of-00010.safetensors	20000724512	8a1de5e06341aa90245bb40809847fee322c6548ec323f1889ead226f74c5c34	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model-00005-of-00010.safetensors?download=true
model-00006-of-00010.safetensors	20000331556	2e6d80bdafe7a29ca9218086b9e02b6731f2358d80c18f78f8d86a1ad271b2cf	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model-00006-of-00010.safetensors?download=true
model-00007-of-00010.safetensors	20000725168	d77c2e31860a92dea8be84fadb8b13a3932205bf0241a3944d4f055752b7bb4d	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model-00007-of-00010.safetensors?download=true
model-00008-of-00010.safetensors	20000332348	f0dc21ce2b1da1739e974cd2736a6fbdc58ddc0551dc5569f679ee5e7f63da93	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model-00008-of-00010.safetensors?download=true
model-00009-of-00010.safetensors	20000722232	f11d8fdd3694491fa2c5a6fb47a28197f020a861ff194153d47a6bb8eeb7609a	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model-00009-of-00010.safetensors?download=true
model-00010-of-00010.safetensors	10215657876	2519e9daf2c153555e2ecd5d408edb0175c507d094729b55d9092d1385b382b6	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model-00010-of-00010.safetensors?download=true
model.safetensors.index.json	17055736	015faae91e8189c7553f1d48ec3d0694b8c02b282d7f58af2d7b4064a81ce4c0	no	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model.safetensors.index.json?download=true
model_mtp.safetensors	7618560424	0cf8dfdc936f1cbc33b9e88d0289ff3b5b4a3d0f7381158a8ccbebb9c8adc035	yes	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/model_mtp.safetensors?download=true
processor_config.json	909		no	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/processor_config.json?download=true
recipe.yaml	1200		no	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/recipe.yaml?download=true
tokenizer.json	20217541	0cfe2c099a7702a0921abc315ee039deb51e4a34b4818fc509bd27fa3dc4acc1	no	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/tokenizer.json?download=true
tokenizer_config.json	790		no	https://huggingface.co/RedHatAI/GLM-5.3-Flash-NVFP4/resolve/36c184c6cda000a481711306df5adde42f63321a/tokenizer_config.json?download=true
