name	version	artifact_sha256	copyright_package	copyright_path	copyright_sha256	license_summary	scope_note	license_concluded	review_status
ca-certificates	20260601~24.04.1	6bac2a01979e210d9eac1d4d56747ec709ea60654744d66705dc3c36e7629e50	ca-certificates	/usr/share/doc/ca-certificates/copyright	e85e1bcad3a915dc7e6f41412bc5bdeba275cadd817896ea0451f2140a93967c	MPL-2.0; GPL-2.0-or-later	certificate data and update scripts	NOASSERTION	copyright-reviewed-binary-scope-pending
debconf	1.5.86ubuntu1	bb390da466a7461bfc87aa3e6b7cd145dae84af3e26bf437f2c0c218ba226294	debconf	/usr/share/doc/debconf/copyright	57163c71bd8a5289660892827dd0dfaa7fef47f89deedc9dc6711ced7d0a28d7	BSD-2-Clause	copyright declaration	NOASSERTION	copyright-reviewed-binary-scope-pending
dpkg	1.22.6ubuntu6.6	c34117a1f62fe8a2026cfba7bde0ec3fedd5d39abad7515bdd45fffcec764288	dpkg	/usr/share/doc/dpkg/copyright	6511e06b27f2297fde6ee8fb2e59807b7712dda61837ca00a0980da1e5df07ac	GPL-2.0-or-later; public-domain-s-s-d	per-file declarations	NOASSERTION	copyright-reviewed-binary-scope-pending
gcc-14-base	14.2.0-4ubuntu2~24.04.1	bddbe21061fdc73a23e7de79ece91693bf61aa22d634d1c69c5048385c114968	gcc-14-base	/usr/share/doc/gcc-14-base/copyright	20390f8a6f3b1e4d7cb45dd8652dabb259bbef688cbad839bcdb0b9ba7252f79	GPL-3.0-or-later; additional GCC notices	compiler family copyright; component scope requires review	NOASSERTION	copyright-reviewed-binary-scope-pending
libacl1	2.3.2-1build1.1	ebc53ded654fcf4449df250cb563ff05f10d851e904e638f698dc7e921ffa47b	libacl1	/usr/share/doc/libacl1/copyright	9a2dfb4a5abc7e84be2cc41f1089be665519c9409549296f6c19de57ab1d37c2	LGPL-2.1-or-later (library); GPL-2.0-or-later (other files)	LGPL short label in copyright is LGPL-2+ but text specifies 2.1+	NOASSERTION	copyright-reviewed-binary-scope-pending
libbz2-1.0	1.0.8-5.1ubuntu0.1	1a92811105f89bf948a629de99715ef23941ef93c901e0942883029069db3f94	libbz2-1.0	/usr/share/doc/libbz2-1.0/copyright	832ed535ff3c3d025a8d2348eb1b697b89addcf2eaadbc17650262040b9145e2	bzip2 BSD-variant; GPL-2.0-only (packaging)	preserve upstream BSD-variant wording	NOASSERTION	copyright-reviewed-binary-scope-pending
libc6	2.39-0ubuntu8.8	2c6010da71b668e210aedaaac2b71fca3eef810e331710dd7c02b8c40ea16de8	libc6	/usr/share/doc/libc6/copyright	d3c95b56fa33e28b57860580f0baf4e4f4de2a268a2b80f1d031a5191bade265	LGPL-2.1-or-later (library); additional glibc notices	utilities and third-party components carry additional conditions	NOASSERTION	copyright-reviewed-binary-scope-pending
libcrypt1	1:4.4.36-4build1	5cd73ba112507dabd8e43b528ca9f530719a370e014b8e3e797770e6e940cccf	libcrypt1	/usr/share/doc/libcrypt1/copyright	5a5e7ca0e9f3f9679977e3a3e9ede45ad92885a3297ea78e766979f9866c5a16	LGPL-2.1-or-later; BSD variants; public-domain notices	per-file libxcrypt terms	NOASSERTION	copyright-reviewed-binary-scope-pending
libdb5.3t64	5.3.28+dfsg2-7	b04d246b871e2e745538fa71ce2d1a127dfd65e7b1438bc6b8e2bb86538f519e	libdb5.3t64	/usr/share/doc/libdb5.3t64/copyright	8b53da37d73289d9df7317b3a2dbe16491f1fa9fec8b77b86d69704b40ce2c26	Sleepycat AND BSD-3-Clause; additional per-file notices	Berkeley DB copyright Files:*; source contains other licenses	NOASSERTION	copyright-reviewed-binary-scope-pending
libexpat1	2.6.1-2ubuntu0.4	284f48567ba2abe026e12ae351f5f4c3a489ce723f725eacfa51bf715aa94609	libexpat1	/usr/share/doc/libexpat1/copyright	60919fe1a156395ff14511bb6ff79756c50ade2fff59ac60c9bae1d8a7fe6292	MIT	copyright declaration	NOASSERTION	copyright-reviewed-binary-scope-pending
