name	version	architecture	url	filename	bytes	sha256	depends	pre_depends	license	purpose_ko	import_route
ca-certificates	20260601~24.04.1	all	https://ports.ubuntu.com/ubuntu-ports/pool/main/c/ca-certificates/ca-certificates_20260601%7e24.04.1_all.deb	ca-certificates_20260601~24.04.1_all.deb	139430	6bac2a01979e210d9eac1d4d56747ec709ea60654744d66705dc3c36e7629e50	openssl (>= 1.1.1), debconf (>= 0.5) | debconf-2.0		MPL-2.0; GPL-2.0-or-later	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
debconf	1.5.86ubuntu1	all	https://ports.ubuntu.com/ubuntu-ports/pool/main/d/debconf/debconf_1.5.86ubuntu1_all.deb	debconf_1.5.86ubuntu1_all.deb	124096	bb390da466a7461bfc87aa3e6b7cd145dae84af3e26bf437f2c0c218ba226294			BSD-2-Clause	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
dpkg	1.22.6ubuntu6.6	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/d/dpkg/dpkg_1.22.6ubuntu6.6_arm64.deb	dpkg_1.22.6ubuntu6.6_arm64.deb	1264616	c34117a1f62fe8a2026cfba7bde0ec3fedd5d39abad7515bdd45fffcec764288	tar (>= 1.28-1)	libbz2-1.0, libc6 (>= 2.38), liblzma5 (>= 5.4.0), libmd0 (>= 0.0.0), libselinux1 (>= 3.1~), libzstd1 (>= 1.5.5), zlib1g (>= 1:1.1.4)	GPL-2.0-or-later; public-domain-s-s-d	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
gcc-14-base	14.2.0-4ubuntu2~24.04.1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/g/gcc-14/gcc-14-base_14.2.0-4ubuntu2%7e24.04.1_arm64.deb	gcc-14-base_14.2.0-4ubuntu2~24.04.1_arm64.deb	50984	bddbe21061fdc73a23e7de79ece91693bf61aa22d634d1c69c5048385c114968			GPL-3.0-or-later; additional GCC notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libacl1	2.3.2-1build1.1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/a/acl/libacl1_2.3.2-1build1.1_arm64.deb	libacl1_2.3.2-1build1.1_arm64.deb	17050	ebc53ded654fcf4449df250cb563ff05f10d851e904e638f698dc7e921ffa47b	libc6 (>= 2.38)		LGPL-2.1-or-later (library); GPL-2.0-or-later (other files)	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libbz2-1.0	1.0.8-5.1ubuntu0.1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/b/bzip2/libbz2-1.0_1.0.8-5.1ubuntu0.1_arm64.deb	libbz2-1.0_1.0.8-5.1ubuntu0.1_arm64.deb	35936	1a92811105f89bf948a629de99715ef23941ef93c901e0942883029069db3f94	libc6 (>= 2.17)		bzip2 BSD-variant; GPL-2.0-only (packaging)	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libc6	2.39-0ubuntu8.8	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/g/glibc/libc6_2.39-0ubuntu8.8_arm64.deb	libc6_2.39-0ubuntu8.8_arm64.deb	2775342	2c6010da71b668e210aedaaac2b71fca3eef810e331710dd7c02b8c40ea16de8	libgcc-s1		LGPL-2.1-or-later (library); additional glibc notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libcrypt1	1:4.4.36-4build1	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/libx/libxcrypt/libcrypt1_4.4.36-4build1_arm64.deb	libcrypt1_1%3a4.4.36-4build1_arm64.deb	85888	5cd73ba112507dabd8e43b528ca9f530719a370e014b8e3e797770e6e940cccf	libc6 (>= 2.38)		LGPL-2.1-or-later; BSD variants; public-domain notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libdb5.3t64	5.3.28+dfsg2-7	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/d/db5.3/libdb5.3t64_5.3.28%2bdfsg2-7_arm64.deb	libdb5.3t64_5.3.28+dfsg2-7_arm64.deb	732284	b04d246b871e2e745538fa71ce2d1a127dfd65e7b1438bc6b8e2bb86538f519e	libc6 (>= 2.38)		Sleepycat AND BSD-3-Clause; additional per-file notices	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
libexpat1	2.6.1-2ubuntu0.4	arm64	https://ports.ubuntu.com/ubuntu-ports/pool/main/e/expat/libexpat1_2.6.1-2ubuntu0.4_arm64.deb	libexpat1_2.6.1-2ubuntu0.4_arm64.deb	77506	284f48567ba2abe026e12ae351f5f4c3a489ce723f725eacfa51bf715aa94609	libc6 (>= 2.38)		MIT	DGX Spark 호스트 Python 3.12·pip 설치 및 전이 의존성 (ARM64)	quarantine-code-round
